Hdr No,PurchaseOrderNumber,LineNumber,ReleaseNumber,ItemNumber,ItemDescription,Grade,Shape,Ground,Finish Type,Diameter,Thickness,Length,Width
20,184578-07,8.0,,MTL-CS12L14H1250,"1-1/4"" Hex 12L14 Steel",12L14,Hex,No,,1.25,,144.0,
21,184874-00,1.0,,MTL-CS1215-R1000,"1"" Round 1215 Steel",1215,Round,No,,1.0,,144.0,
21,184874-00,2.0,,MTL-CS1215-R1000,"1"" Round 1215 Steel",1215,Round,No,,1.0,,144.0,
21,184874-00,3.0,,MTL-CS1215-R1375,"1-3/8"" Round 1215 Steel",1215,Round,No,,1.375,,144.0,
21,184874-00,4.0,,MTL-CS1215-R2125,"2-1/8"" RD 1215 Steel",1215,Round,No,,2.125,,144.0,
21,184874-00,5.0,,MTL-CS1215-R2125,"2-1/8"" RD 1215 Steel",1215,Round,No,,,,,
21,184874-00,6.0,,MTL-CS12L14H0813,"13/16"" Hex 12L14 Steel",12L14,Hex,No,,0.8125,,144.0,
22,PO-32901,,,,12L14 1-1/4 HEX Ship on next pool truck,12L14,Hex,No,,1.25,,144.0,
23,9031519,1.0,,,1-3/16 O 1215 1-3/16 O 1215 sourced/melted steel,1215,,No,,1.1875,,144.0,
24,76185,1.0,,,STL1 1/8RD1215 1.125 RD.1215 STEEL,1215,RD,No,,1.125,,144.0,
25,184097,1.0,,,CF0442 2.250 ROUND CD 12L14 CS BAR ASTM A108 12' R/L,12L14,Round,No,CF Bar,2.25,,144.0,
26,PT25376,1.0,,,"M20000SRC15 2"" ROUND STEEL C1215",C1215,Round,No,,2.0,,144.0,
27,PT25430,1.0,,,M13750SRC15 1-3/8 ROUND STEEL C1215,C1215,Round,No,,1.375,,144.0,
27,PT25430,2.0,,,M13125SRC15 1-5/16 RD C1215,C1215,RD,No,,,,,
27,PT25430,3.0,,,"M22500SRL14 2-1/4"" STEEL RD 12L14",12L14,RD,No,,2.25,,144.0,
27,PT25430,4.0,,,"M10000SRL14 1"" STEEL RD 12L14",12L14,RD,No,,1.0,,144.0,
28,2500287,,,,3/4'' RD. 1018 12 ft bar of 3/4'' RD. 1018,1018,RD,No,,0.75,,144.0,
